chunk_id,document_id,case_number,ecli,decision_date,document_type,legal_area,url,ns_section_hint,chunk_text_length,paragraph_count,audit_classification,suspicious_possible_missed_boundary,internal_numbered_marker_count,internal_roman_marker_count,internal_section_marker_count,chunk_text_first_500,chunk_text_last_500
ECLI:CZ:NS:2024:20.CDO.2839.2024.1__chunk_0002,ECLI:CZ:NS:2024:20.CDO.2839.2024.1,20 Cdo 2839/2024,ECLI:CZ:NS:2024:20.CDO.2839.2024.1,2024-11-27,USNESENÍ,civil,https://rozhodnuti.nsoud.cz/Judikatura/judikatura_ns.nsf/WebSearch/18CCBEBEF2FC444CC1258C0A0052C5F1?openDocument,oduvodneni,4245,1,possible missed roman section boundary,True,10,1,0,"Odůvodnění: Oprávněná podala dne 4. června 2024 exekuční návrh na zřízení exekutorského zástavního práva na nemovitých věcech ve vlastnictví povinného (specifikované v návrhu) k zajištění pohledávky ve výši 2 124 285,77 Kč podle notářského zápisu JUDr. Andrey Štěpánové, MBA, notářky se sídlem v Brně, ze dne 18. ledna 2024, č. j. NZ 37/2024 (dále též jen „exekuční titul“ nebo „notářský zápis“), ve kterém povinný uznal svůj dluh ve výši 2 124 285,77 Kč a s oprávněnou uzavřel dohodu o splátkách, v ","u lze vytknout, že jednotlivé zápůjčky nejsou specifikovány daty, jestliže se však strany shodly na výši dlužné částky a právním důvodu v podobě několika smluv o zápůjčce, u kterých si smluvní strany již vybavují pouze časové období 2012–2023, nemůže se tento fakt odrazit v platnosti a vymahatelnosti uvedeného právního jednání. Dovolatelka navrhla, aby dovolací soud usnesení odvolacího soudu zrušil a věc mu vrátil k dalšímu řízení. Nejvyšší soud dovolání projednal a rozhodl o něm podle zákona č."
ECLI:CZ:NS:2024:5.TDO.318.2024.1__chunk_0019,ECLI:CZ:NS:2024:5.TDO.318.2024.1,5 Tdo 318/2024,ECLI:CZ:NS:2024:5.TDO.318.2024.1,2024-10-16,USNESENÍ,criminal,https://rozhodnuti.nsoud.cz/Judikatura/judikatura_ns.nsf/WebSearch/0DAC54942D34607BC1258C1B0052C3F4?openDocument,oduvodneni,5540,1,possible missed roman section boundary,True,3,8,0,"36. Obecně lze dále uvést, že trestný čin porušení povinnosti při správě cizího majetku, označovaný též jako nevěrná správa, podle § 220 tr. zákoníku spočívá v tom, že pachatel způsobí jinému škodu nikoli malou tím, že poruší podle zákona mu uloženou nebo smluvně převzatou povinnost opatrovat nebo spravovat cizí majetek. Podstatou je tedy jednání (jak konání, tak i opomenutí) v rozporu s uloženou nebo převzatou povinností, kterým vzniká škoda na cizím majetku, ale nevyžaduje se, aby pachatel seb"," podle § 265i odst. 1 písm. f) tr. ř., neboť případná změna v popisu skutku by neměla vliv na postavení obviněného, ani řešená otázka nemá zásadní právní význam. S tím ovšem nesouhlasil obviněný, který poukázal na to, že obchodní společnost D. I. po svém odkázání na řízení občanskoprávní podala na něj žalobu na zaplacení stejné částky, přičemž z pravomocného odsuzujícího rozsudku trestního soudu, jímž je civilní soud vázán, vyplývá, že právě obchodní společnosti D. I. měl takovou škodu způsobit."
ECLI:CZ:NS:2025:20.CDO.13.2025.1__chunk_0002,ECLI:CZ:NS:2025:20.CDO.13.2025.1,20 Cdo 13/2025,ECLI:CZ:NS:2025:20.CDO.13.2025.1,2025-01-14,USNESENÍ,civil,https://rozhodnuti.nsoud.cz/Judikatura/judikatura_ns.nsf/WebSearch/1606332799AEA80EC1258C210052C407?openDocument,oduvodneni,5634,1,possible missed roman section boundary,True,17,4,0,"99/1963 Sb., občanský soudní řád, ve znění účinném od 30. září 2017 (srov. část první čl. II bod 2 zákona č. 296/2017 Sb.), dále jen „o. s. ř.“. Dovolacímu soudu je z jeho činnosti známo a plyne to i z obsahu spisu, že povinní dlouhodobě zneužívají svého práva na soudní ochranu opakovaným podáváním neurčitých, popřípadě nedůvodných žalob, přičemž po zahájení řízení podávají mimořádné množství vesměs neodůvodněných procesních podání, jakož i opravných prostředků včetně opravných prostředků mimořá","III. ÚS 3425/16, dospěl k závěru, že jsou-li splněny důvody pro odmítnutí dovolání či pro zastavení dovolacího řízení (§ 243c o. s. ř.), není „projednatelný“ ani návrh na odklad vykonatelnosti dovoláním napadeného rozhodnutí odvolacího soudu, protože jde o návrh akcesorický. S ohledem na výše uvedené se proto Nejvyšší soud nezabýval návrhem dovolatelů na odklad vykonatelnosti rozhodnutí odvolacího soudu. O náhradě nákladů dovolacího řízení se rozhoduje ve zvláštním režimu [§ 87 a násl. zákona č."
ECLI:CZ:NS:2025:20.CDO.15.2025.1__chunk_0002,ECLI:CZ:NS:2025:20.CDO.15.2025.1,20 Cdo 15/2025,ECLI:CZ:NS:2025:20.CDO.15.2025.1,2025-01-14,USNESENÍ,civil,https://rozhodnuti.nsoud.cz/Judikatura/judikatura_ns.nsf/WebSearch/152F51B4E6A7FAE2C1258C210052C418?openDocument,oduvodneni,5634,1,possible missed roman section boundary,True,17,4,0,"99/1963 Sb., občanský soudní řád, ve znění účinném od 30. září 2017 (srov. část první čl. II bod 2 zákona č. 296/2017 Sb.), dále jen „o. s. ř.“. Dovolacímu soudu je z jeho činnosti známo a plyne to i z obsahu spisu, že povinní dlouhodobě zneužívají svého práva na soudní ochranu opakovaným podáváním neurčitých, popřípadě nedůvodných žalob, přičemž po zahájení řízení podávají mimořádné množství vesměs neodůvodněných procesních podání, jakož i opravných prostředků včetně opravných prostředků mimořá","III. ÚS 3425/16, dospěl k závěru, že jsou-li splněny důvody pro odmítnutí dovolání či pro zastavení dovolacího řízení (§ 243c o. s. ř.), není „projednatelný“ ani návrh na odklad vykonatelnosti dovoláním napadeného rozhodnutí odvolacího soudu, protože jde o návrh akcesorický. S ohledem na výše uvedené se proto Nejvyšší soud nezabýval návrhem dovolatelů na odklad vykonatelnosti rozhodnutí odvolacího soudu. O náhradě nákladů dovolacího řízení se rozhoduje ve zvláštním režimu [§ 87 a násl. zákona č."
ECLI:CZ:NS:2024:3.TDO.650.2024.1__chunk_0006,ECLI:CZ:NS:2024:3.TDO.650.2024.1,3 Tdo 650/2024,ECLI:CZ:NS:2024:3.TDO.650.2024.1,2024-12-17,USNESENÍ,criminal,https://rozhodnuti.nsoud.cz/Judikatura/judikatura_ns.nsf/WebSearch/09DCEA35D305A913C1258C270052DB76?openDocument,oduvodneni,6056,1,possible missed numbered paragraph boundary,True,1,0,0,"7. První argumentační okruh, který lze v dovolání obviněného vysledovat, se týká příčinného vztahu mezi jednáním a následkem. Obviněný má za to, že odvolací soud rezignoval na zkoumání příčin škodlivého následku, které sám dovodil na základě provedeného dokazování, přičemž se omezil na opakování toho, že obviněný byl stavbyvedoucím, vedl ohledně stavby komunikaci, byl přítomen na několika kontrolních dnech, což je důvodem pro dovození jeho trestní odpovědnosti. Odvolací soud dokonce popřel své v","acích na mostu. Konečně i sám odvolací soud uvádí, že příčinou pádu mostu bylo odtěžení násypu pod patu klenby bez předchozího podepření klenby, čili odvolací soud nemůže uvádět, že obviněný nedostatečně koordinoval práce a nekontroloval práci stavbyvedoucích B. a S., protože tyto skutečnosti nejsou příčinou vzniklého následku, tj. obecného ohrožení. Závěr o existenci příčinné souvislosti, jako jednoho ze znaků skutkové podstaty, zkrátka nemůže obstát a jedná se tak o nesprávné právní posouzení."
ECLI:CZ:NS:2025:29.ICDO.131.2023.1__chunk_0005,ECLI:CZ:NS:2025:29.ICDO.131.2023.1,29 ICdo 131/2023,ECLI:CZ:NS:2025:29.ICDO.131.2023.1,2025-01-30,USNESENÍ,civil,https://rozhodnuti.nsoud.cz/Judikatura/judikatura_ns.nsf/WebSearch/1716B3AE0C599023C1258C300052A1DC?openDocument,oduvodneni,5305,1,possible missed numbered paragraph boundary,True,6,0,0,"99/1963 Sb., občanského soudního řádu (dále jen „o. s. ř.“), a odkazuje na (označenou) judikaturu Nejvyššího soudu – potvrdil rozsudek insolvenčního soudu jako věcně správný. V prvé řadě shledal nedůvodnou námitku podjatosti soudkyně insolvenčního soudu (JUDr. Jarmily Hanuliakové) uplatněnou žalobcem (opakovaně) v průběhu odvolacího řízení; potud odkázal na usnesení ze dne 10. července 2017 a 7. února 2020 a doplnil, že důvodem pro vyloučení jmenované nemůže být jen to, že je soudkyní i v insolv","koli neutrálním a nezaujatým) vztahem k insolvenčnímu soudu; tuto okolnost je nutno považovat za objektivní důvod, který je způsobilý vyvolat pochybnost o nepodjatosti a nestrannosti soudce (viz označená judikatura Ústavního soudu). Proto požaduje, aby Nejvyšší soud rozhodnutí odvolacího soudu zrušil a věc vrátil tomuto soudu k dalšímu řízení. Dovolání, které mohlo být přípustné jen podle § 237 o. s. ř., Nejvyšší soudodmítl jako nepřípustné podle § 243c odst. 1 a 2 o. s. ř. Učinil tak proto, že:"
ECLI:CZ:NS:2025:33.CDO.889.2024.1__chunk_0003,ECLI:CZ:NS:2025:33.CDO.889.2024.1,33 Cdo 889/2024,ECLI:CZ:NS:2025:33.CDO.889.2024.1,2025-02-18,USNESENÍ,civil,https://rozhodnuti.nsoud.cz/Judikatura/judikatura_ns.nsf/WebSearch/09E514034F4F55B4C1258C4200529DD4?openDocument,oduvodneni,5293,1,real long paragraph,False,0,0,0,"89/2012 Sb., občanský zákoník (dále jen „NOZ“); 2) zda soudy mohou vyloučit aplikaci ustanovení § 1764 a násl. NOZ a tím i ochranu právního postavení žalobce, jako dodavatele plynu podle Smlouvy, pro takový případ pro účastníky nepředvídatelné a neovlivnitelné okolnosti, kterou byl vznik válečného konfliktu na Ukrajině a jeho přímé dopady na trh s energiemi (zejména plynem) na státy Evropské unie včetně České republiky, které byly přímo závislé na dovozu plynu z Ruské federace, jehož dovoz byl z","energie dlouhodobě dopředu, aniž by měl obchodník jistotu, že zákazník tuto energii ve skutečnosti odebere v případě, kdy ani energii nemusel odebrat z důvodu Smlouvou sjednané odchylky – 100 % a ani nikdy nebyla ve Smlouvě zafixována minimální výše odběru plynu žalovanou v rozhodném období. 8) zda je povinností soudu se – byť stručně – vypořádat v rámci odůvodnění rozhodnutí s veškerými námitkami účastníka řízení (žalobce) tak, aby rozhodnutí soudu bylo po právní a věcné stránce přezkoumatelné."
ECLI:CZ:NS:2025:20.CDO.3450.2024.1__chunk_0004,ECLI:CZ:NS:2025:20.CDO.3450.2024.1,20 Cdo 3450/2024,ECLI:CZ:NS:2025:20.CDO.3450.2024.1,2025-02-04,USNESENÍ,civil,https://rozhodnuti.nsoud.cz/Judikatura/judikatura_ns.nsf/WebSearch/036BD8CFFE97CC63C1258C440052B3C9?openDocument,oduvodneni,5376,1,possible missed roman section boundary,True,7,1,0,"120/2001 Sb., o soudních exekutorech a exekuční činnosti (exekuční řád), ve znění pozdějších předpisů, nestanoví-li tento zákon jinak, použijí se pro exekuční řízení přiměřeně ustanovení občanského soudního řádu. Výkon rozhodnutí se provede tak, že dlužník povinného po právní moci usnesení o nařízení výkonu vyplatí oprávněnému pohledávku v rozsahu, v jakém byla nařízením výkonu postižena (§ 314a odst. 1 o. s. ř.). Z odst. 3 téhož ustanovení plyne, že se dlužník povinného výplatou oprávněnému zpr",". s. ř. nebo jinou vadou, která by mohla mít za následek nesprávné rozhodnutí ve věci, Nejvyšší soud dovolání podle ustanovení § 243d odst. 1 písm. a) o. s. ř. zamítl. O náhradě nákladů dovolacího řízení dovolací soud rozhodl podle ustanovení § 243c odst. 3 věty první, § 224 odst. 1, § 151 odst. 1 a § 142 odst. 1 o. s. ř. Dlužnice povinné nebyla v dovolacím řízení úspěšná, a byla proto povinna ostatním účastníkům nahradit účelně vynaložené náklady dovolacího řízení. Žádné takové ovšem nevznikly."
ECLI:CZ:NS:2025:5.TDO.1128.2024.1__chunk_0021,ECLI:CZ:NS:2025:5.TDO.1128.2024.1,5 Tdo 1128/2024,ECLI:CZ:NS:2025:5.TDO.1128.2024.1,2025-01-29,USNESENÍ,criminal,https://rozhodnuti.nsoud.cz/Judikatura/judikatura_ns.nsf/WebSearch/11E3BE4AB900168EC1258C4D0052AF60?openDocument,oduvodneni,4763,1,possible missed numbered paragraph boundary,True,2,0,0,"32. K námitkám obviněného, kterými zpochybňoval naplnění objektivní stránky trestného činu podle § 270 odst. 1, 3 písm. b) tr. zákoníku, je nutno připomenout, že toto zákonné ustanovení je trestněprávní normou s tzv. blanketní dispozicí, která obsahuje právní pojmy upravené normami jiného právního odvětví než trestního práva, a to konkrétně práva autorského a práv s ním souvisejících. Při hodnocení objektivních podmínek trestnosti je tedy nutné striktně vycházet z právní úpravy autorského práva,"," umožňuje použití této metody (tzv. embedded linkem), má možnost zpravidla jednoduchým úkonem (tzv. kliknutím ukazovacím zařízením na text odkazu) přejít přímo na obsah díla (resp. jeho rozmnoženiny). Metodu vloženého kódu, tzv. embedding, je proto nutné považovat za přímý prostředek sdělování díla nebo jeho rozmnoženiny veřejnosti (shodně v odborné literatuře Telec, I., Tůma, P. Autorský zákon. Komentář. 1. vydání. Praha: C. H. Beck, 2007, s. 228, stejně tak usnesení Nejvyššího soudu ze dne 27."
ECLI:CZ:NS:2025:29.CDO.275.2024.1__chunk_0003,ECLI:CZ:NS:2025:29.CDO.275.2024.1,29 Cdo 275/2024,ECLI:CZ:NS:2025:29.CDO.275.2024.1,2025-02-26,USNESENÍ,civil,https://rozhodnuti.nsoud.cz/Judikatura/judikatura_ns.nsf/WebSearch/0BED21954767D22DC1258C500052A356?openDocument,oduvodneni,4161,1,possible missed roman section boundary,True,7,1,0,"99/1963 Sb., občanského soudního řádu – dále jen „o. s. ř.“) k řešení právní otázky, „s jakou mírou jistoty je povinný ze směnky povinen prokázat neexistenci kauzy a zda lze vysvětlit existenci jeho pravého podpisu na směnce pouze obecným tvrzením, že jej musel učinit v nevědomosti (popř. omylu)“. Podle žalobce nepředložil žalovaný jediný důkaz, který by prokazoval, že mu nic nedlužil, ani dostatečně věrohodně nevysvětlil, proč směnku, o jejímž zaplacení rozhodl soud prvního stupně směnečným pla","vají z mimosmluvní odměny za zastoupení advokátem za jeden úkon právní služby (vyjádření k dovolání ze dne 31. ledna 2024), která podle § 7 bodu 6., § 8 odst. 1 a § 11 odst. 1 písm. k) vyhlášky č. 177/1996 Sb., o odměnách advokátů a náhradách advokátů za poskytování právních služeb (advokátního tarifu), ve znění účinném k datu podání vyjádření, činí (z tarifní hodnoty 421.400,- Kč) částku 10.020,- Kč, a z paušální částky náhrady hotových výdajů ve výši 300,- Kč (§ 13 odst. 4 advokátního tarifu)."
